,gene_name,DNase,H3K4me1,H3K4me3,H3K27ac,H3K27me3,H3K36me3,gene_exp
0,SLC20A1,0.0001,0.0001,0.0001,0.0001,0.0001,6.275902738508765,0.0
1,C11orf58,84.57994539394215,0.0001,4.842477583765927,47.11358024691358,0.0001,5.996582922691655,2906.14533973896
2,ZSCAN9,120.0008725114088,0.0001,6.799778197262859,24.883760683760684,4.198132599777877,4.773366184667582,9.414950191551
3,CD19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
4,TMEM123,209.63750440050805,4.794784483496176,4.339877300613496,25.40351377018044,2.5630557665896605,4.126956943210275,26.9959286104677
5,POMC,133.7355177202224,4.74294587703838,3.6461507000157303,0.0001,10.14714957072807,0.0001,1.7292765657950802
6,NME2,575.4127925931227,0.0001,0.0001,20.3826685660019,0.0001,5.638032151223847,0.0
7,CEP120,419.9944389144426,4.0175903903081736,3.786224634261444,33.43941120607787,0.0001,4.944187737297035,0.480354601609745
8,FBXO4,80.24268901221156,3.0634913844732297,3.844593361648576,0.0001,0.0001,0.0001,0.672496442253643
9,GRIA1,29.64136455868778,4.664661795657159,2.5566226207330502,0.0001,2.1125589274770755,3.7825510945956857,0.0
10,GALNT9,0.0001,6.011875224585479,0.3371086990718893,22.80778727445394,0.0001,0.0001,0.0
11,AKAIN1,103.37472304810812,4.97390530620626,3.5248796602170835,0.0001,8.296408575809481,0.0001,0.0
12,SYCE1L,0.0001,0.0001,0.0001,0.0001,0.0001,3.4135471362791825,0.096070920321949
13,GOLGA8S,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
14,CAST,190.8427267463421,3.615175989459455,5.276668239735724,15.366429249762582,0.0001,5.0047661361984,281.583867463633
15,FBXW12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
16,DIRAS2,83.13419326669863,4.082818569155217,3.300844738084002,0.0001,2.205418920606113,0.0001,0.0
17,WDR7,16.629595413495952,0.0001,0.0001,0.0001,0.0001,3.761806284837224,0.0
18,MMP1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
19,SREBF2,0.0001,0.0001,0.0001,0.0001,0.0001,6.734590839324663,0.096070920321949
20,SLC38A3,392.5251484968154,4.794784483496176,3.218835928897278,0.0001,3.5054465839811924,0.0001,2.11356024708288
21,PCDHGA11,329.6349309617216,0.0001,1.3609013685700804,0.0001,2.926225287588937,0.0001,7.397460864790079
22,ZNF707,373.7303708426495,0.0001,6.399916627339939,0.0001,0.0001,5.996582922691655,18.7338294627801
23,ACTR6,223.37214960932167,3.476942557451104,5.635386188453673,24.315242165242164,0.0001,4.151555052912189,0.096070920321949
24,POLR3K,858.7802095328558,0.0001,5.2399292118924015,35.197910731244065,0.0001,3.5766782454156227,0.0
25,POLR2F,238.5525469453788,6.016965828784587,5.219715274500551,18.02312440645774,2.364467006733053,5.996582922691655,256.125073578316
26,CSDC2,0.0001,3.7701613593196552,0.0001,0.0001,0.0001,0.0001,0.0
27,POGLUT3,0.0001,0.0001,0.0001,0.0001,0.0001,3.4135471362791825,0.096070920321949
28,ASB16,247.94993577246177,5.316558580448657,0.555205285512034,21.225688509021843,0.0001,0.0001,0.0
29,GRIK2,0.0001,0.0001,0.0001,0.0001,0.0001,2.827094272558365,0.0
30,LY6G6E,0.0001,7.92731130541914,0.5190703161868806,13.432573599240266,0.0001,0.0001,0.0
31,ADAM2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
32,OR6M1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
33,MCF2L2,140.96427835644008,3.432273575058606,3.036062608148497,0.0001,4.758287384113715,3.141804669197835,0.288212760965847
34,C3orf18,717.0965010629893,4.377585941376773,5.480876199465156,28.47051282051282,1.734292874355235,0.0001,4.99568785674135
35,CLEC4E,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
36,TXN,0.0001,0.0001,0.0001,0.0001,0.0001,5.627578964375151,0.0
37,CD109,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
38,CNTNAP3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
39,MAD1L1,326.02055064361275,3.791892678085591,5.518285354727072,24.463675213675213,0.0001,8.054333952661766,0.0
40,CYP51A1,322.4061703255039,3.6126691877277937,5.680929683813119,46.95536562203229,0.0001,5.329768155747637,35.1619568378333
41,ALK,0.0001,4.936919286117623,0.0001,25.251994301994305,0.0001,0.0001,0.0
42,CABP4,0.0001,2.9512243116989785,0.0001,0.0001,0.0001,0.0001,0.0
43,MYF5,36.87012519490546,5.432778357659863,2.0073839861569924,19.96215574548908,2.2509084440208347,0.0001,0.0
44,NUP42,0.0001,0.0001,0.0001,0.0001,0.0001,5.184764520559011,0.0
